method,class,n_real,n_synth,KS_median,KS_p75,Wasserstein_median,Wasserstein_p75,MMD
CTGAN,Ransomware,9791,15605,0.090936595349043,0.2087936036832078,0.2511632759404001,2.2225068919592816,0.0485661489019789
QGAN,Ransomware,229,229,0.3275109170305676,0.4519650655021834,0.6642961382655985,7.367828235989672,0.1627891096625447
SMOTE,Ransomware,9791,19507,0.0116183240753431,0.0259316364501811,0.073308101802685,0.304706540165648,0.0008828650466903
CTGAN,Spyware,10020,15422,0.1331735439767591,0.2081640958777555,0.2840047694330483,2.918772414967756,0.0048470372564487
SMOTE,Spyware,10020,19278,0.0103084835619765,0.0186860639132565,0.0844390273297164,0.3175977953834005,0.0005878642750843
CTGAN,Trojan,9487,15849,0.1117420989991165,0.2309227421223232,0.143101541936206,1.7818309347114365,0.0809811601403729
QGAN,Trojan,533,533,0.2926829268292683,0.4577861163227017,0.8712237890290594,2.698665783374697,0.3422108648396198
SMOTE,Trojan,9487,19811,0.0126601836921467,0.0279021915741897,0.0613586683395997,0.3262167474198569,0.0012158625198364
