class,n_real,n_synth,KS_median,KS_p75,Wasserstein_median,Wasserstein_p75,MMD
Ransomware,229,229,0.32751091703056767,0.4519650655021834,0.6642961382655985,7.367828235989672,0.16278910966254478
Trojan,533,533,0.2926829268292683,0.4577861163227017,0.8712237890290594,2.698665783374697,0.3422108648396198
