class,n_real,n_synth,KS_median,KS_p75,Wasserstein_median,Wasserstein_p75,MMD
Ransomware,229,229,0.388646288209607,0.6048034934497817,1.0819068947038453,7.122159523848822,0.17426269733282018
Trojan,533,533,0.28893058161350843,0.50093808630394,0.5679377096411077,3.258185261085898,0.33664382482910726
