class,n_real,n_synth,KS_median,KS_p75,Wasserstein_median,Wasserstein_p75,MMD,variant
Ransomware,9791,9791,0.2825043407210704,0.46920641405372276,0.8398689807620642,4.544824025693127,0.19100180755365126,uncalibrated
Ransomware,9791,9791,0.26871616790930447,0.46833826983964866,1.176978726450539,4.615209792586386,0.19803324528089772,calibrated_in_ORIGINAL_feature_space
Trojan,9487,9487,0.24306946347633604,0.4905133340360493,0.6021209647074798,2.1576961983666756,0.3059170906781038,uncalibrated
Trojan,9487,9487,0.25972383261304943,0.4186781912090229,0.5643015748728519,3.9494969354681184,0.23111311785347355,calibrated_in_ORIGINAL_feature_space
Spyware,10020,10020,0.2827345309381238,0.4691616766467066,0.9108941799825062,5.633017829639983,0.1591100809253343,uncalibrated
Spyware,10020,10020,0.3077844311377246,0.4137225548902196,1.8598633331134824,4.866987778041436,0.13512524366241763,calibrated_in_ORIGINAL_feature_space
