class,n_real,n_synth,KS_median,KS_p75,Wasserstein_median,Wasserstein_p75,MMD,calibrated
Ransomware,5631,5631,0.17190552299769135,0.2822766826496182,0.7913336885100338,4.160806251109927,0.18170678963154174,False
Ransomware,5631,5631,0.1914402415201563,0.3768424791333689,1.271710175812467,3.8083821701296383,0.2053418176822115,True
Trojan,6362,6362,0.18248978308707953,0.24905690034580322,0.6488525620873938,2.096746306193017,0.32719358521438047,False
Trojan,6362,6362,0.14445143036780886,0.25518704809808235,0.6284187362464633,4.039060044011321,0.3509125296681128,True
Spyware,4966,4966,0.17720499395892067,0.31755940394683846,0.7537253322593639,5.136327023761578,0.19523897866322248,False
Spyware,4966,4966,0.24627466774063633,0.3308497784937575,1.3781715666532421,7.301852597664116,0.19620178242597364,True
