classifier,accuracy_original,f1_macro_original,accuracy_qgan_augmented,f1_macro_qgan_augmented
RandomForest,0.8755546453682845,0.8127131731127064,0.8749402689603386,0.8118879946594524
XGBoost,0.8813570892211072,0.8211301577605589,0.8807427128131613,0.820295113863803
LightGBM,0.8758277015495939,0.8128939433210591,0.8764420779575398,0.8137058326873868
SVM,0.7440098300225272,0.6089420265087617,0.7421667007986893,0.5994244508991965
