classifier,accuracy_original,f1_macro_original,accuracy_qgan_augmented,f1_macro_qgan_augmented
RandomForest,0.8755546453682845,0.8127131731127064,0.9327599153525838,0.898787863445656
XGBoost,0.8813570892211072,0.8211301577605589,0.9124854938903679,0.8681129827036003
LightGBM,0.8758277015495939,0.8128939433210591,0.8952146904225544,0.8418842587975683
SVM,0.7440098300225272,0.6089420265087617,0.7532937401870435,0.6222264267396271
